2023-10-20 10:56:45.859603,!!!Face Not Detected!!! 2023-10-20 10:56:45.859603
2023-10-20 10:56:54.127484,!!!Face Not Detected!!! 2023-10-20 10:56:54.127484
2023-10-20 10:56:55.207906,!!!Face Not Detected!!! 2023-10-20 10:56:55.207906
2023-10-20 10:57:18.580779,!!!Face Not Detected!!! 2023-10-20 10:57:18.580779
2023-10-20 10:57:19.673206,!!!Face Not Detected!!! 2023-10-20 10:57:19.673206
2023-10-20 10:58:07.846193,!!!Face Not Detected!!! 2023-10-20 10:58:07.846193
2023-10-20 10:59:07.993297,!!!Eye MIS!!! 2023-10-20 10:59:07.993297
2023-10-20 10:59:23.488806,!!! GAPE !!! 2023-10-20 10:59:23.488806
2023-10-20 10:59:24.587950,!!! GAPE !!! 2023-10-20 10:59:24.587950
2023-10-20 10:59:31.061839,!!! GAPE !!! 2023-10-20 10:59:31.061839
2023-10-20 10:59:32.148337,!!! GAPE !!! 2023-10-20 10:59:32.148337
2023-10-20 10:59:39.564043,!!! BEWILDER !!! 2023-10-20 10:59:39.564043
2023-10-20 10:59:53.646248,!!! BEWILDER !!! 2023-10-20 10:59:53.646248
2023-10-20 10:59:54.745820,!!! BEWILDER !!! 2023-10-20 10:59:54.745820
2023-10-20 10:59:55.752463,!!! BEWILDER !!! 2023-10-20 10:59:55.752463
2023-10-20 10:59:56.817929,!!! BEWILDER !!! 2023-10-20 10:59:56.817929
2023-10-20 10:59:57.826209,!!! BEWILDER !!! 2023-10-20 10:59:57.826209
2023-10-20 10:59:58.919894,!!! BEWILDER !!! 2023-10-20 10:59:58.919894
2023-10-20 10:59:59.928619,!!! BEWILDER !!! 2023-10-20 10:59:59.928619
2023-10-20 11:00:01.738711,!!! BEWILDER !!! 2023-10-20 11:00:01.738711
2023-10-20 11:00:02.830364,!!! BEWILDER !!! 2023-10-20 11:00:02.830364
2023-10-20 11:00:03.899319,!!! BEWILDER !!! 2023-10-20 11:00:03.899319
2023-10-20 11:00:19.317248,!!!Eye MIS!!! 2023-10-20 11:00:19.317248
2023-10-20 11:00:20.391558,!!!Eye MIS!!! 2023-10-20 11:00:20.391558
2023-10-20 11:01:00.471683,!!!Eye MIS!!! 2023-10-20 11:01:00.471683
2023-10-20 11:01:25.706855,!!!Eye MIS!!! 2023-10-20 11:01:25.706855
2023-10-20 11:01:29.429236,!!! GAPE !!! 2023-10-20 11:01:29.429236
2023-10-20 11:01:30.516454,!!! GAPE !!! 2023-10-20 11:01:30.516454
2023-10-20 11:02:15.140267,!!!Eye MIS!!! 2023-10-20 11:02:15.140267
2023-10-20 11:02:16.226266,!!!Eye MIS!!! 2023-10-20 11:02:16.226266
2023-10-20 11:02:17.295420,!!!Eye MIS!!! 2023-10-20 11:02:17.295420
2023-10-20 11:02:18.362517,!!!Eye MIS!!! 2023-10-20 11:02:18.362517
2023-10-20 11:02:19.432405,!!!Eye MIS!!! 2023-10-20 11:02:19.432405
2023-10-20 11:02:20.502149,!!!Eye MIS!!! 2023-10-20 11:02:20.502149
2023-10-20 11:02:48.787319,!!!Eye MIS!!! 2023-10-20 11:02:48.787319
2023-10-20 11:03:29.810750,!!! BEWILDER !!! 2023-10-20 11:03:29.810750
